alpha,beta,delta,gamma,mse
0.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.0740061308419053
0.3333333333333333,1.3333333333333333,1,0.6666666666666666,1.0748877102583885
0.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.0844314502635974
0.3333333333333333,1.3333333333333333,0.3333333333333333,0.3333333333333333,1.099412481464045
0.3333333333333333,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.1054151410702646
0.3333333333333333,1,0.3333333333333333,0.3333333333333333,1.105571270316052
0.3333333333333333,1,1.3333333333333333,0.6666666666666666,1.1193389535060927
0.3333333333333333,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.123362682919031
0.3333333333333333,1,0.6666666666666666,0.3333333333333333,1.1324444141414955
0.3333333333333333,1,1,0.6666666666666666,1.1472113636063455
0.3333333333333333,1.3333333333333333,1,0.3333333333333333,1.1504444004255538
0.3333333333333333,1,1,0.3333333333333333,1.1685310764416945
0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.1731117329383056
0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.1744901768738778
0.3333333333333333,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.1803215690903064
0.6666666666666666,1.3333333333333333,1,0.3333333333333333,1.1822245265432345
0.6666666666666666,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.1939987002564347
0.3333333333333333,1,0.6666666666666666,0.6666666666666666,1.201473285915085
0.3333333333333333,1.3333333333333333,1.3333333333333333,1,1.2075522996836558
0.3333333333333333,1,1.3333333333333333,0.3333333333333333,1.2113763245423317
0.6666666666666666,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.2117450801094012
0.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.2119960620867793
0.3333333333333333,0.6666666666666666,1,0.3333333333333333,1.2224442320124196
0.3333333333333333,1.3333333333333333,1,1,1.2662000155765476
0.6666666666666666,1,1,0.3333333333333333,1.2733785013643577
0.3333333333333333,1,0.3333333333333333,0.6666666666666666,1.287372617361814
0.3333333333333333,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.2963946066555516
0.6666666666666666,1,1.3333333333333333,0.3333333333333333,1.3100828618620135
0.3333333333333333,0.6666666666666666,1,0.6666666666666666,1.3283276495968033
0.3333333333333333,1.3333333333333333,0.6666666666666666,1,1.339346368884283
0.6666666666666666,1,0.6666666666666666,0.3333333333333333,1.351834166014421
1,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.3641899839863183
0.6666666666666666,1.3333333333333333,0.3333333333333333,0.3333333333333333,1.3729116642299122
1,1.3333333333333333,1,0.3333333333333333,1.3868377665004028
0.3333333333333333,1.3333333333333333,0.3333333333333333,1,1.4268224252479147
0.3333333333333333,1,1.3333333333333333,1,1.428117369565915
0.6666666666666666,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.4524856798888557
0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.4678851054361588
0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.5432245633731405
0.6666666666666666,1,1.3333333333333333,0.6666666666666666,1.5603525514137582
1,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.5702682268255006
0.3333333333333333,1,1,1,1.5748273961629007
0.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.5891367864287775
1,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.6487632536439776
0.3333333333333333,0.3333333333333333,1,0.3333333333333333,1.6490347919615644
0.3333333333333333,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.6562572383049328
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.6813250420840957
0.3333333333333333,1.3333333333333333,1,1.3333333333333333,1.6995129147047265
0.6666666666666666,0.6666666666666666,1,0.3333333333333333,1.719029206802404
0.3333333333333333,0.6666666666666666,1.3333333333333333,1,1.7192038355344783
1.3333333333333333,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.7279905986906403
1,1,1.3333333333333333,0.3333333333333333,1.7358843079569322
0.3333333333333333,1,0.6666666666666666,1,1.742140444737723
1,1,1,0.3333333333333333,1.7527590165380231
1.3333333333333333,1.3333333333333333,1,0.3333333333333333,1.7620001271629309
0.3333333333333333,0.3333333333333333,1,0.6666666666666666,1.7751228647387132
0.6666666666666666,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.7918416506145636
0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.8002215845769878
0.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.8181266399702094
1.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.8301740989087327
0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.8408588808931574
0.6666666666666666,1.3333333333333333,1,0.6666666666666666,1.854112825391361
1,1,1.3333333333333333,0.6666666666666666,1.8959325510139586
0.6666666666666666,1,1,0.6666666666666666,1.8980746119423504
0.3333333333333333,1,0.3333333333333333,1,1.9233044791613723
1,1.3333333333333333,1.3333333333333333,1,1.9248352068214905
1,1,0.6666666666666666,0.3333333333333333,1.9366374731305158
1.3333333333333333,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.9399359306576591
0.3333333333333333,1.3333333333333333,0.3333333333333333,1.3333333333333333,1.9441640654648378
0.3333333333333333,0.3333333333333333,1.3333333333333333,0.3333333333333333,1.9553297645933638
1,1.3333333333333333,1,0.6666666666666666,1.9729685630693663
1.3333333333333333,1.3333333333333333,1,0.6666666666666666,2.0581367974586904
0.6666666666666666,0.6666666666666666,1.3333333333333333,0.6666666666666666,2.0600587682070493
0.3333333333333333,1,1.3333333333333333,1.3333333333333333,2.0676143921465724
0.6666666666666666,1.3333333333333333,1.3333333333333333,1,2.130992350689623
0.3333333333333333,0.6666666666666666,1,1,2.16050492836304
1,1,1,0.6666666666666666,2.1978867596607445
0.6666666666666666,1,0.3333333333333333,0.3333333333333333,2.2036918397266048
0.6666666666666666,1,1.3333333333333333,1,2.2807488059007266
0.3333333333333333,1,1,1.3333333333333333,2.283459318116671
1,1,1.3333333333333333,1,2.37359451877478
0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,2.4078406413883093
1.3333333333333333,1,1.3333333333333333,0.3333333333333333,2.4829154865774035
0.3333333333333333,1,0.6666666666666666,1.3333333333333333,2.4854337109965345
1.3333333333333333,1,1,0.3333333333333333,2.5318004249026385
0.6666666666666666,0.6666666666666666,1,0.6666666666666666,2.5389690443422874
1.3333333333333333,1,1.3333333333333333,0.6666666666666666,2.5589403277367735
0.3333333333333333,0.6666666666666666,0.6666666666666666,1,2.59949406765489
0.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,2.6523561252650887
1,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.6551282352803325
1,1.3333333333333333,1,1,2.656698202829628
0.3333333333333333,1,0.3333333333333333,1.3333333333333333,2.6828200859148668
0.6666666666666666,0.6666666666666666,1.3333333333333333,1,2.6967155287893174
1.3333333333333333,1,0.6666666666666666,0.3333333333333333,2.753942141695556
0.3333333333333333,0.3333333333333333,1.3333333333333333,1,2.7636134461846327
1.3333333333333333,1.3333333333333333,1.3333333333333333,1,2.7649891075162016
1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,2.8290148520658267
1.3333333333333333,1,1,0.6666666666666666,2.903079476316953
0.3333333333333333,0.6666666666666666,0.3333333333333333,1,2.964703498096887
0.6666666666666666,1.3333333333333333,1,1,2.973369994804495
1,1,1,1,3.048993110514358
